id,name,description,cve,processed
CAPEC-104,Cross Zone Scripting,attacker able cause victim load content web browser bypass security zone control gain access increase privilege execute scripting code web object unsigned activex control applet privilege elevation attack target zone base web browser security,[],attacker able cause victim load content web browser bypass security zone control gain access increase privilege execute scripting code web object unsigned activex control applet privilege elevation attack target zone base web browser security
CAPEC-105,HTTP Request Splitting,adversary abuse flexibility discrepancy parsing interpretation http request message different intermediary http agent load balancer reverse proxy web caching proxy application firewall etc split single http request multiple unauthorized malicious http request end http agent web server canprecede relationship possible consequence,[],adversary abuse flexibility discrepancy parsing interpretation http request message different intermediary http agent load balancer reverse proxy web caching proxy application firewall etc split single http request multiple unauthorized malicious http request end http agent web server canprecede relationship possible consequence
CAPEC-107,Cross Site Tracing,cross site tracing xst enable adversary steal victim session cookie possibly authentication credential transmit header http request victim browser communicate destination system web server,[],cross site tracing xst enable adversary steal victim session cookie possibly authentication credential transmit header http request victim browser communicate destination system web server
CAPEC-108,Command Line Execution through SQL Injection,attacker use standard sql injection method inject datum command line execution directly misuse directive indirectly injection datum database interpret shell command later unscrupulous backend application functionality application fetch inject datum store database use datum command line argument perform proper validation malicious data escape data plane spawn new command execute host,"['CVE-2006-6799', 'CVE-2006-6799']",attacker use standard sql injection method inject datum command line execution directly misuse directive indirectly injection datum database interpret shell command later unscrupulous backend application functionality application fetch inject datum store database use datum command line argument perform proper validation malicious data escape data plane spawn new command execute host
CAPEC-109,Object Relational Mapping Injection,attacker leverage weakness present database access layer code generate object relational mapping orm tool weakness way developer persistence framework inject sql command execute underlie database attack similar plain sql injection application use jdbc directly talk database instead use datum access layer generate orm tool framework hibernate time code generate orm tool contain safe access method immune sql injection weakness generate code fact developer fail use generate access method properly sql injection possible,[],attacker leverage weakness present database access layer code generate object relational mapping orm tool weakness way developer persistence framework inject sql command execute underlie database attack similar plain sql injection application use jdbc directly talk database instead use datum access layer generate orm tool framework hibernate time code generate orm tool contain safe access method immune sql injection weakness generate code fact developer fail use generate access method properly sql injection possible
CAPEC-11,Cause Web Server Misclassification,attack type exploit web server decision action base filename file extension different file type handle different server process misclassification force web server unexpected action expected action unexpected sequence cause server exhaust resource supply debug system datum attacker bind attacker remote process,[],attack type exploit web server decision action base filename file extension different file type handle different server process misclassification force web server unexpected action expected action unexpected sequence cause server exhaust resource supply debug system datum attacker bind attacker remote process
CAPEC-110,SQL Injection through SOAP Parameter Tampering,attacker modify parameter soap message send service consumer service provider initiate sql injection attack service provider soap message parse parameter properly validate access database way use parameter binding enable attacker control structure execute sql query pattern describe sql injection attack delivery mechanism soap message,[],attacker modify parameter soap message send service consumer service provider initiate sql injection attack service provider soap message parse parameter properly validate access database way use parameter binding enable attacker control structure execute sql query pattern describe sql injection attack delivery mechanism soap message
CAPEC-111,JSON Hijacking (aka JavaScript Hijacking),attacker target system use javascript object notation json transport mechanism client server common web system ajax steal possibly confidential information transmit server client inside json object take advantage loophole browser origin policy prohibit javascript website include execute context website,[],attacker target system use javascript object notation json transport mechanism client server common web system ajax steal possibly confidential information transmit server client inside json object take advantage loophole browser origin policy prohibit javascript website include execute context website
CAPEC-112,Brute Force,attack asset information functionality identity etc protect finite secret value attacker attempt gain access asset trial error exhaustively explore possible secret value hope find secret value functionally equivalent unlock asset,[],attack asset information functionality identity etc protect finite secret value attacker attempt gain access asset trial error exhaustively explore possible secret value hope find secret value functionally equivalent unlock asset
CAPEC-113,Interface Manipulation,adversary manipulate use processing interface application programming interface api system chip soc result adverse impact security system implement interface allow adversary bypass access control execute functionality intend interface implementation possibly compromise system integrate interface interface manipulation number form include force unexpected use interface use interface unintended way,[],adversary manipulate use processing interface application programming interface api system chip soc result adverse impact security system implement interface allow adversary bypass access control execute functionality intend interface implementation possibly compromise system integrate interface interface manipulation number form include force unexpected use interface use interface unintended way
CAPEC-114,Authentication Abuse,attacker obtain unauthorized access application service device knowledge inherent weakness authentication mechanism exploit flaw authentication scheme implementation attack authentication mechanism function carefully control sequence event cause mechanism grant access attacker,[],attacker obtain unauthorized access application service device knowledge inherent weakness authentication mechanism exploit flaw authentication scheme implementation attack authentication mechanism function carefully control sequence event cause mechanism grant access attacker
CAPEC-115,Authentication Bypass,attacker gain access application service device privilege authorized privileged user evade circumvent authentication mechanism attacker able access protect datum authentication having take place,[],attacker gain access application service device privilege authorized privileged user evade circumvent authentication mechanism attacker able access protect datum authentication having take place
CAPEC-116,Excavation,adversary actively probe target manner design solicit information leverage malicious purpose achieve explore target ordinary interaction purpose gather intelligence target send datum syntactically invalid non standard attempt produce response contain desire datum result interaction adversary able obtain information target aid attacker make inference security configuration potential vulnerability examplar exchange target trigger unhandled exception verbose error message reveal information like stack trace configuration information path information database design type attack include manipulation query string uri produce invalid sql query try alternative path value hope server return useful information,[],adversary actively probe target manner design solicit information leverage malicious purpose achieve explore target ordinary interaction purpose gather intelligence target send datum syntactically invalid non standard attempt produce response contain desire datum result interaction adversary able obtain information target aid attacker make inference security configuration potential vulnerability examplar exchange target trigger unhandled exception verbose error message reveal information like stack trace configuration information path information database design type attack include manipulation query string uri produce invalid sql query try alternative path value hope server return useful information
CAPEC-117,Interception,adversary monitor data stream target information gathering purpose attack undertake solely gather sensitive information support attack target attack pattern involve sniff network traffic type data stream radio adversary attempt initiate establishment data stream passively observe communication unfold variant attack adversary intend recipient data stream contrast mean gather information target datum leak adversary actively position themself observe explicit datum channel network traffic read content attack differ adversary middle attack adversary alter content communication forward datum intended recipient,[],adversary monitor data stream target information gathering purpose attack undertake solely gather sensitive information support attack target attack pattern involve sniff network traffic type data stream radio adversary attempt initiate establishment data stream passively observe communication unfold variant attack adversary intend recipient data stream contrast mean gather information target datum leak adversary actively position themself observe explicit datum channel network traffic read content attack differ adversary middle attack adversary alter content communication forward datum intended recipient
CAPEC-12,Choosing Message Identifier,pattern attack define selection message distribute multicast public information channel intend client determine parameter value assign client attack allow adversary gain access potentially privileged information possibly perpetrate attack distribution mean impersonation channel message manipulate input output mechanism system command bus style attack change adversary identifier privileged,[],pattern attack define selection message distribute multicast public information channel intend client determine parameter value assign client attack allow adversary gain access potentially privileged information possibly perpetrate attack distribution mean impersonation channel message manipulate input output mechanism system command bus style attack change adversary identifier privileged
CAPEC-120,Double Encoding,adversary utilize repeating encoding process set character character encoding character encoding character obfuscate payload particular request allow adversary bypass filter attempt detect illegal character string traversal injection attack filter able catch illegal encode string catch doubly encode string example dot path traversal attack block filter url encode filter recognize encoding block request double encoding url encoding encode result filter catch interpret dot interpreter target,[],adversary utilize repeating encoding process set character character encoding character encoding character obfuscate payload particular request allow adversary bypass filter attempt detect illegal character string traversal injection attack filter able catch illegal encode string catch doubly encode string example dot path traversal attack block filter url encode filter recognize encoding block request double encoding url encoding encode result filter catch interpret dot interpreter target
CAPEC-121,Exploit Non-Production Interfaces,adversary exploit sample demonstration test debug interface unintentionally enable production system goal glean information leverage functionality unavailable,[],adversary exploit sample demonstration test debug interface unintentionally enable production system goal glean information leverage functionality unavailable
CAPEC-122,Privilege Abuse,adversary able exploit feature target reserve privileged user administrator expose use low non privileged account access sensitive information functionality control ensure authorized user able access resource,[],adversary able exploit feature target reserve privileged user administrator expose use low non privileged account access sensitive information functionality control ensure authorized user able access resource
CAPEC-123,Buffer Manipulation,adversary manipulate application interaction buffer attempt read modify datum access buffer attack distinguish buffer space target attack code responsible interpret content buffer virtually buffer attack content place buffer immaterial instead buffer attack involve retrieve provide input store allocate buffer result reading overwriting unintended program memory,[],adversary manipulate application interaction buffer attempt read modify datum access buffer attack distinguish buffer space target attack code responsible interpret content buffer virtually buffer attack content place buffer immaterial instead buffer attack involve retrieve provide input store allocate buffer result reading overwriting unintended program memory
CAPEC-124,Shared Resource Manipulation,adversary exploit resource share multiple application application pool hardware pin multiplexing affect behavior resource share multiple application multiple thread single application resource sharing usually accomplish mutual access single memory location multiplexe hardware pin adversary manipulate share resource usually co opt application thread application thread share resource continue trust validity compromise share resource use calculation result invalid trust assumption corruption additional datum normal operation user share resource cause crash compromise sharing application,[],adversary exploit resource share multiple application application pool hardware pin multiplexing affect behavior resource share multiple application multiple thread single application resource sharing usually accomplish mutual access single memory location multiplexe hardware pin adversary manipulate share resource usually co opt application thread application thread share resource continue trust validity compromise share resource use calculation result invalid trust assumption corruption additional datum normal operation user share resource cause crash compromise sharing application
CAPEC-125,Flooding,adversary consume resource target rapidly engage large number interaction target type attack generally expose weakness rate limiting flow successful attack prevent legitimate user access service cause target crash attack differ resource depletion leak allocation attack rely volume request target instead focus manipulation target operation key factor flooding attack number request adversary give period time great number likely attack succeed give target,[],adversary consume resource target rapidly engage large number interaction target type attack generally expose weakness rate limiting flow successful attack prevent legitimate user access service cause target crash attack differ resource depletion leak allocation attack rely volume request target instead focus manipulation target operation key factor flooding attack number request adversary give period time great number likely attack succeed give target
CAPEC-126,Path Traversal,adversary use path manipulation method exploit insufficient input validation target obtain access datum retrievable ordinary form request typical variety attack involve specify path desire file dot dot slash character result file access api function traverse intended directory structure root file system replace modify expected path information access function api retrieve file desire attacker attack involve attacker provide complete path target file control character path separator dot reach desire directory file,[],adversary use path manipulation method exploit insufficient input validation target obtain access datum retrievable ordinary form request typical variety attack involve specify path desire file dot dot slash character result file access api function traverse intended directory structure root file system replace modify expected path information access function api retrieve file desire attacker attack involve attacker provide complete path target file control character path separator dot reach desire directory file
CAPEC-127,Directory Indexing,adversary craft request target result target list index content directory output common method trigger directory content output construct request contain path terminate directory file application configure provide list directory content request receive adversary use explore directory tree target learn name file end reveal test file backup file temporary file hidden file configuration file user account script content naming convention attacker mount additional attack,[],adversary craft request target result target list index content directory output common method trigger directory content output construct request contain path terminate directory file application configure provide list directory content request receive adversary use explore directory tree target learn name file end reveal test file backup file temporary file hidden file configuration file user account script content naming convention attacker mount additional attack
CAPEC-128,Integer Attacks,attacker take advantage structure integer variable cause variable assume value expect application example add large positive integer sign integer variable result negative number negative number illegal application application prevent attacker provide directly application consider add positive number create negative number structure integer storage format,[],attacker take advantage structure integer variable cause variable assume value expect application example add large positive integer sign integer variable result negative number negative number illegal application application prevent attacker provide directly application consider add positive number create negative number structure integer storage format
CAPEC-129,Pointer Manipulation,attack pattern involve adversary manipulate pointer target application result application access unintended memory location result crashing application certain pointer value access datum normally possible execution arbitrary code pointer simply integer variable integer attacks pointer attacks,[],attack pattern involve adversary manipulate pointer target application result application access unintended memory location result crashing application certain pointer value access datum normally possible execution arbitrary code pointer simply integer variable integer attacks pointer attacks
CAPEC-13,Subverting Environment Variable Values,adversary directly indirectly modify environment variable control target software adversary goal cause target software deviate expect operation manner benefit adversary,['CVE-1999-0073'],adversary directly indirectly modify environment variable control target software adversary goal cause target software deviate expect operation manner benefit adversary
CAPEC-130,Excessive Allocation,adversary cause target allocate excessive resource service attacker request reduce resource available legitimate service degrade deny service usually attack focus memory allocation finite resource target attack include bandwidth processing cycle resource attack attempt force allocation large number request resource depletion flooding instead use small number request carefully format force target allocate excessive resource service attack take advantage bug target cause target allocate resource vastly need normal request,[],adversary cause target allocate excessive resource service attacker request reduce resource available legitimate service degrade deny service usually attack focus memory allocation finite resource target attack include bandwidth processing cycle resource attack attempt force allocation large number request resource depletion flooding instead use small number request carefully format force target allocate excessive resource service attack take advantage bug target cause target allocate resource vastly need normal request
CAPEC-131,Resource Leak Exposure,adversary utilize resource leak target deplete quantity resource available service legitimate request,[],adversary utilize resource leak target deplete quantity resource available service legitimate request
CAPEC-132,Symlink Attack,adversary position symbolic link manner target user application access link endpoint assume access file link,[],adversary position symbolic link manner target user application access link endpoint assume access file link
CAPEC-133,Try All Common Switches,attacker attempt invoke common switch option target application purpose discover weakness target example application add switch cause debug information display reveal sensitive processing configuration information attacker attack differ form api abuse attacker indiscriminately attempt invoke option hope work specifically target know option nonetheless attacker familiar publish option target application attack method fruitful discover unpublicized functionality,[],attacker attempt invoke common switch option target application purpose discover weakness target example application add switch cause debug information display reveal sensitive processing configuration information attacker attack differ form api abuse attacker indiscriminately attempt invoke option hope work specifically target know option nonetheless attacker familiar publish option target application attack method fruitful discover unpublicized functionality
CAPEC-134,Email Injection,adversary manipulate header content email message inject datum use delimiter character native protocol,[],adversary manipulate header content email message inject datum use delimiter character native protocol
CAPEC-135,Format String Injection,adversary include format character string input field target application application assume user provide static text respond unpredictably presence format character example certain function c programming language printf format character s print content memory location expect location identify string format character n print number dword write memory adversary use read write memory location file simply manipulate value result text unexpected way read write memory result program crash write memory result execution arbitrary code adversary write program stack,['CVE-2007-2027'],adversary include format character string input field target application application assume user provide static text respond unpredictably presence format character example certain function c programming language printf format character s print content memory location expect location identify string format character n print number dword write memory adversary use read write memory location file simply manipulate value result text unexpected way read write memory result program crash write memory result execution arbitrary code adversary write program stack
CAPEC-136,LDAP Injection,attacker manipulate craft ldap query purpose undermine security target application use user input create ldap query process ldap server example user provide username authentication username insert ldap query authentication process attacker use input inject additional command ldap query disclose sensitive information example enter aforementioned query return information user system attack similar sql injection attack manipulate query gather additional information coerce particular return value,['CVE-2005-2301'],attacker manipulate craft ldap query purpose undermine security target application use user input create ldap query process ldap server example user provide username authentication username insert ldap query authentication process attacker use input inject additional command ldap query disclose sensitive information example enter aforementioned query return information user system attack similar sql injection attack manipulate query gather additional information coerce particular return value
CAPEC-137,Parameter Injection,adversary manipulate content request parameter purpose undermine security target parameter encoding use text character separator example parameter http message encode value pair separate ampersand attacker supply text string fill parameter inject special character encoding scheme add modify parameter example user input feed directly http request user provide value myvalue input parameter set myinput new parameter add value myvalue significantly change meaning query process server encoding scheme parameter identify separate text character potentially vulnerable attack http encoding example,[],adversary manipulate content request parameter purpose undermine security target parameter encoding use text character separator example parameter http message encode value pair separate ampersand attacker supply text string fill parameter inject special character encoding scheme add modify parameter example user input feed directly http request user provide value myvalue input parameter set myinput new parameter add value myvalue significantly change meaning query process server encoding scheme parameter identify separate text character potentially vulnerable attack http encoding example
CAPEC-138,Reflection Injection,adversary supply value target application reflection method identify class method field example java programming language reflection library permit application inspect load invoke class component adversary control input method include class method field parameter pass method cause target application invoke incorrect method read random field load utilize malicious class adversary create lead application reveal sensitive information return incorrect result have adversary control target application,[],adversary supply value target application reflection method identify class method field example java programming language reflection library permit application inspect load invoke class component adversary control input method include class method field parameter pass method cause target application invoke incorrect method read random field load utilize malicious class adversary create lead application reveal sensitive information return incorrect result have adversary control target application
CAPEC-139,Relative Path Traversal,attacker exploit weakness input validation target supply specially construct path utilize dot slash character purpose obtain access arbitrary file resource attacker modify know path target order reach material available intended channel attack normally involve add additional path separator dot encoding thereof combination order reach parent directory entirely separate tree target directory structure,[],attacker exploit weakness input validation target supply specially construct path utilize dot slash character purpose obtain access arbitrary file resource attacker modify know path target order reach material available intended channel attack normally involve add additional path separator dot encoding thereof combination order reach parent directory entirely separate tree target directory structure
CAPEC-14,Client-side Injection-induced Buffer Overflow,type attack exploit buffer overflow vulnerability target client software injection malicious content custom build hostile service hostile service create deliver correct content client software example client application browser service host webpage browser load,[],type attack exploit buffer overflow vulnerability target client software injection malicious content custom build hostile service hostile service create deliver correct content client software example client application browser service host webpage browser load
CAPEC-140,Bypassing of Intermediate Forms in Multiple-Form Sets,web application require user submit information ordered sequence web form large information collect information early form pre populate field determine additional information application need collect attacker know name form sequence able explicitly type later form navigate go previous form result incomplete collection information incorrect assumption information submit attacker problem impair functioning application,[],web application require user submit information ordered sequence web form large information collect information early form pre populate field determine additional information application need collect attacker know name form sequence able explicitly type later form navigate go previous form result incomplete collection information incorrect assumption information submit attacker problem impair functioning application
CAPEC-141,Cache Poisoning,attacker exploit functionality cache technology cause specific datum cache aid attacker objective describe attack attacker place incorrect harmful material cache target cache application cache web browser cache public cache dns arp cache cache refresh application client treat corrupt cache value valid lead wide range exploit include redirect web browser site install malware repeatedly incorrect calculation base incorrect value,[],attacker exploit functionality cache technology cause specific datum cache aid attacker objective describe attack attacker place incorrect harmful material cache target cache application cache web browser cache public cache dns arp cache cache refresh application client treat corrupt cache value valid lead wide range exploit include redirect web browser site install malware repeatedly incorrect calculation base incorrect value
