id,true,pred,true_name,pred_name,cve_des
CVE-2005-2088,CAPEC-33,CAPEC-33,HTTP Request Smuggling,HTTP Request Smuggling,"The Apache HTTP server before 1.3.34, and 2.0.x before 2.0.55, when acting as an HTTP proxy, allows remote attackers to poison the web cache, bypass web application firewall protection, and conduct XSS attacks via an HTTP request with both a ""Transfer-Encoding: chunked"" header and a Content-Length header, which causes Apache to incorrectly handle and forward the body of the request in a way that causes the receiving server to process it as a separate HTTP request, aka ""HTTP Request Smuggling."""
CVE-2006-0207,CAPEC-34,CAPEC-34,HTTP Response Splitting,HTTP Response Splitting,"Multiple HTTP response splitting vulnerabilities in PHP 5.1.1 allow remote attackers to inject arbitrary HTTP headers via a crafted Set-Cookie header, related to the (1) session extension (aka ext/session) and the (2) header function."
CVE-2006-0944,CAPEC-39,CAPEC-115,Manipulating Opaque Client-based Data Tokens,Authentication Bypass,Archangel Weblog 0.90.02 allows remote attackers to bypass authentication by setting the ba_admin cookie to 1.
CVE-1999-0047,CAPEC-42,CAPEC-42,MIME Conversion,MIME Conversion,MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.
CVE-2004-2761,CAPEC-459,CAPEC-459,Creating a Rogue Certification Authority Certificate,Creating a Rogue Certification Authority Certificate,"The MD5 Message-Digest Algorithm is not collision resistant, which makes it easier for context-dependent attackers to conduct spoofing attacks, as demonstrated by attacks on the use of MD5 in the signature algorithm of an X.509 certificate."
CVE-2005-4900,CAPEC-459,CAPEC-459,Creating a Rogue Certification Authority Certificate,Creating a Rogue Certification Authority Certificate,"SHA-1 is not collision resistant, which makes it easier for context-dependent attackers to conduct spoofing attacks, as demonstrated by attacks on the use of SHA-1 in TLS 1.2.  NOTE: this CVE exists to provide a common identifier for referencing this SHA-1 issue; the existence of an identifier is not, by itself, a technology recommendation."
CVE-1999-0946,CAPEC-46,CAPEC-46,Overflow Variables and Tags,Overflow Variables and Tags,Buffer overflow in Yamaha MidiPlug via a Text variable in an EMBED tag.
CVE-1999-0971,CAPEC-46,CAPEC-47,Overflow Variables and Tags,Buffer Overflow via Parameter Expansion,Buffer overflow in Exim allows local users to gain root privileges via a long :include: option in a .forward file.
CVE-2001-0249,CAPEC-47,CAPEC-47,Buffer Overflow via Parameter Expansion,Buffer Overflow via Parameter Expansion,"Heap overflow in FTP daemon in Solaris 8 allows remote attackers to execute arbitrary commands by creating a long pathname and calling the LIST command, which uses glob to generate long strings."
CVE-2006-6652,CAPEC-47,CAPEC-47,Buffer Overflow via Parameter Expansion,Buffer Overflow via Parameter Expansion,"Buffer overflow in the glob implementation (glob.c) in libc in NetBSD-current before 20050914, NetBSD 2.* and 3.* before 20061203, and Apple Mac OS X before 2007-004, as used by the FTP daemon and tnftpd, allows remote authenticated users to execute arbitrary code via a long pathname that results from path expansion."
CVE-2020-0601,CAPEC-475,CAPEC-657,Signature Spoofing by Improper Validation,Malicious Automated Software Update via Spoofing,"A spoofing vulnerability exists in the way Windows CryptoAPI (Crypt32.dll) validates Elliptic Curve Cryptography (ECC) certificates.An attacker could exploit the vulnerability by using a spoofed code-signing certificate to sign a malicious executable, making it appear the file was from a trusted, legitimate source, aka 'Windows CryptoAPI Spoofing Vulnerability'."
CVE-2004-1143,CAPEC-49,CAPEC-49,Password Brute Forcing,Password Brute Forcing,"The password generation in mailman before 2.1.5 generates only 5 million unique passwords, which makes it easier for remote attackers to guess passwords via a brute force attack."
CVE-2006-3013,CAPEC-50,CAPEC-41,Password Recovery Exploitation,Using Meta-characters in E-mail Headers to Inject Malicious Payloads,"Interpretation conflict in resetpw.php in phpBannerExchange before 2.0 Update 6 allows remote attackers to execute arbitrary SQL commands via an email parameter containing a null (%00) character after a valid e-mail address, which passes the validation check in the eregi PHP command.  NOTE: it could be argued that this vulnerability is due to a bug in the eregi PHP command and the proper fix should be in PHP; if so, then this should not be treated as a vulnerability in phpBannerExchange."
CVE-2004-0629,CAPEC-52,CAPEC-45,Embedding NULL Bytes,Buffer Overflow via Symbolic Links,"Buffer overflow in the ActiveX component (pdf.ocx) for Adobe Acrobat 5.0.5 and Acrobat Reader, and possibly other versions, allows remote attackers to execute arbitrary code via a URI for a PDF file with a null terminator (%00) followed by a long string."
CVE-2006-4705,CAPEC-54,CAPEC-66,Query System for Information,SQL Injection,SQL injection vulnerability in login.php in dwayner79 and Dominic Gamble Timesheet (aka Timesheet.php) 1.2.1 allows remote attackers to execute arbitrary SQL commands via the username parameter.
CVE-2006-1058,CAPEC-55,CAPEC-55,Rainbow Table Password Cracking,Rainbow Table Password Cracking,"BusyBox 1.1.1 does not use a salt when generating passwords, which makes it easier for local users to guess passwords from a stolen password file using techniques such as rainbow tables."
CVE-2006-6969,CAPEC-59,CAPEC-59,Session Credential Falsification through Prediction,Session Credential Falsification through Prediction,"Jetty before 4.2.27, 5.1 before 5.1.12, 6.0 before 6.0.2, and 6.1 before 6.1.0pre3 generates predictable session identifiers using java.util.random, which makes it easier for remote attackers to guess a session identifier through brute force attacks, bypass authentication requirements, and possibly conduct cross-site request forgery attacks."
CVE-2001-1534,CAPEC-59,CAPEC-59,Session Credential Falsification through Prediction,Session Credential Falsification through Prediction,"mod_usertrack in Apache 1.3.11 through 1.3.20 generates session ID's using predictable information including host IP address, system time and server process ID, which allows local users to obtain session ID's and bypass authentication when these session ID's are used for authentication."
CVE-1999-0428,CAPEC-60,CAPEC-217,Reusing Session IDs (aka Session Replay),Exploiting Incorrectly Configured SSL/TLS,OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.
CVE-2002-0258,CAPEC-60,CAPEC-21,Reusing Session IDs (aka Session Replay),Exploitation of Trusted Identifiers,"Merak Mail IceWarp Web Mail uses a static identifier as a user session ID that does not change across sessions, which could allow remote attackers with access to the ID to gain privileges as that user, e.g. by extracting the ID from the user's answer or forward URLs."
CVE-2004-2182,CAPEC-61,CAPEC-61,Session Fixation,Session Fixation,Session fixation vulnerability in Macromedia JRun 4.0 allows remote attackers to hijack user sessions by pre-setting the user session ID information used by the session server.
CVE-2012-0584,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The Internationalized Domain Name (IDN) feature in Apple Safari before 5.1.4 on Windows does not properly restrict the characters in URLs, which allows remote attackers to spoof a domain name via unspecified homoglyphs."
CVE-2009-0652,CAPEC-632,CAPEC-64,Homograph Attack via Homoglyphs,Using Slashes and URL Encoding Combined to Bypass Validation Logic,"The Internationalized Domain Names (IDN) blacklist in Mozilla Firefox 3.0.6 and other versions before 3.0.9; Thunderbird before 2.0.0.21; and SeaMonkey before 1.1.15 does not include box-drawing characters, which allows remote attackers to spoof URLs and conduct phishing attacks, as demonstrated by homoglyphs of the / (slash) and ? (question mark) characters in a subdomain of a .cn domain name, a different vulnerability than CVE-2005-0233.  NOTE: some third parties claim that 3.0.6 is not affected, but much older versions perhaps are affected."
CVE-2005-0233,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Firefox 1.0, Camino .8.5, and Mozilla before 1.7.6 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2005-0234,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Safari 1.2.5 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2005-0235,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Opera 7.54 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2005-0236,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Omniweb 5 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2005-0237,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Konqueror 3.2.1 on KDE 3.2.1 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2005-0238,CAPEC-632,CAPEC-632,Homograph Attack via Homoglyphs,Homograph Attack via Homoglyphs,"The International Domain Name (IDN) support in Epiphany allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks."
CVE-2001-1335,CAPEC-64,CAPEC-126,Using Slashes and URL Encoding Combined to Bypass Validation Logic,Path Traversal,Directory traversal vulnerability in CesarFTP 0.98b and earlier allows remote authenticated users (such as anonymous) to read arbitrary files via a GET with a filename that contains a ...%5c (modified dot dot).
CVE-2006-3976,CAPEC-657,CAPEC-17,Malicious Automated Software Update via Spoofing,Using Malicious Files,Unspecified vulnerability in CA eTrust Antivirus WebScan before 1.1.0.1048 allows remote attackers to install arbitrary files.
CVE-2006-3977,CAPEC-657,CAPEC-440,Malicious Automated Software Update via Spoofing,Hardware Integrity Attack,"Unspecified vulnerability in CA eTrust Antivirus WebScan before 1.1.0.1048 has unknown impact and remote attackers related to ""improper processing of outdated WebScan components."""
CVE-2006-5525,CAPEC-66,CAPEC-66,SQL Injection,SQL Injection,"Incomplete blacklist vulnerability in mainfile.php in PHP-Nuke 7.9 and earlier allows remote attackers to conduct SQL injection attacks via (1) ""/**/UNION "" or (2) "" UNION/**/"" sequences, which are not rejected by the protection mechanism, as demonstrated by a SQL injection via the eid parameter in a search action in the Encyclopedia module in modules.php."
CVE-2002-0412,CAPEC-67,CAPEC-67,String Format Overflow in syslog(),String Format Overflow in syslog(),"Format string vulnerability in TraceEvent function for ntop before 2.1 allows remote attackers to execute arbitrary code by causing format strings to be injected into calls to the syslog function, via (1) an HTTP GET request, (2) a user name in HTTP authentication, or (3) a password in HTTP authentication."
CVE-2006-4705,CAPEC-7,CAPEC-108,Blind SQL Injection,Command Line Execution through SQL Injection,SQL injection vulnerability in login.php in dwayner79 and Dominic Gamble Timesheet (aka Timesheet.php) 1.2.1 allows remote attackers to execute arbitrary SQL commands via the username parameter.
CVE-2006-5288,CAPEC-70,CAPEC-122,Try Common or Default Usernames and Passwords,Privilege Abuse,"Cisco 2700 Series Wireless Location Appliances before 2.1.34.0 have a default administrator username ""root"" and password ""password,"" which allows remote attackers to obtain administrative privileges, aka Bug ID CSCsb92893."
CVE-2000-0884,CAPEC-71,CAPEC-64,Using Unicode Encoding to Bypass Validation Logic,Using Slashes and URL Encoding Combined to Bypass Validation Logic,"IIS 4.0 and 5.0 allows remote attackers to read documents outside of the web root, and possibly execute arbitrary commands, via malformed URLs that contain UNICODE encoded characters, aka the ""Web Server Folder Traversal"" vulnerability."
CVE-2001-0784,CAPEC-72,CAPEC-72,URL Encoding,URL Encoding,Directory traversal vulnerability in Icecast 1.3.10 and earlier allows remote attackers to read arbitrary files via a modified .. (dot dot)  attack using encoded URL characters.
CVE-2001-1335,CAPEC-72,CAPEC-126,URL Encoding,Path Traversal,Directory traversal vulnerability in CesarFTP 0.98b and earlier allows remote authenticated users (such as anonymous) to read arbitrary files via a GET with a filename that contains a ...%5c (modified dot dot).
CVE-2000-0860,CAPEC-77,CAPEC-73,Manipulating User-Controlled Variables,User-Controlled Filename,The file upload capability in PHP versions 3 and 4 allows remote attackers to read arbitrary files by setting hidden form fields whose names match the names of internal PHP script variables.
CVE-2000-0884,CAPEC-80,CAPEC-64,Using UTF-8 Encoding to Bypass Validation Logic,Using Slashes and URL Encoding Combined to Bypass Validation Logic,"IIS 4.0 and 5.0 allows remote attackers to read documents outside of the web root, and possibly execute arbitrary commands, via malformed URLs that contain UNICODE encoded characters, aka the ""Web Server Folder Traversal"" vulnerability."
CVE-2007-1544,CAPEC-92,CAPEC-92,Forced Integer Overflow,Forced Integer Overflow,Integer overflow in the ProcAuWriteElement function in server/dia/audispatch.c in Network Audio System (NAS) before 1.8a SVN 237 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a large max_samples value.
CVE-2006-0201,CAPEC-93,CAPEC-93,Log Injection-Tampering-Forging,Log Injection-Tampering-Forging,"Dave Nielsen and Patrick Breitenbach PayPal Web Services (aka PHP Toolkit) 0.50, and possibly earlier versions, allows remote attackers to enter false payment entries into the log file via HTTP POST requests to ipn_success.php."
